id_cliente,monto_original,mora_202201,mora_202301
1,20000,1) 0 dias,3) 30-60 dias
2,120000,3) 30-60 dias,1) 0 dias
3,90000,1) 0 dias,1) 0 dias
4,50000,1) 0 dias,1) 0 dias
5,50000,1) 0 dias,1) 0 dias
6,50000,1) 0 dias,1) 0 dias
7,500000,1) 0 dias,1) 0 dias
8,100000,1) 0 dias,1) 0 dias
9,140000,1) 0 dias,1) 0 dias
10,20000,1) 0 dias,1) 0 dias
11,200000,1) 0 dias,1) 0 dias
12,260000,3) 30-60 dias,1) 0 dias
13,630000,1) 0 dias,1) 0 dias
14,70000,3) 30-60 dias,2) 0-30 dias
15,250000,1) 0 dias,1) 0 dias
16,50000,1) 0 dias,2) 0-30 dias
17,20000,3) 30-60 dias,1) 0 dias
18,320000,1) 0 dias,1) 0 dias
19,360000,1) 0 dias,2) 0-30 dias
20,180000,1) 0 dias,2) 0-30 dias
21,130000,1) 0 dias,1) 0 dias
22,120000,1) 0 dias,1) 0 dias
23,70000,2) 0-30 dias,3) 30-60 dias
24,450000,1) 0 dias,1) 0 dias
25,90000,1) 0 dias,1) 0 dias
26,50000,1) 0 dias,1) 0 dias
27,60000,1) 0 dias,2) 0-30 dias
28,50000,1) 0 dias,1) 0 dias
29,50000,1) 0 dias,1) 0 dias
30,50000,1) 0 dias,1) 0 dias
31,230000,1) 0 dias,1) 0 dias
32,50000,1) 0 dias,3) 30-60 dias
33,100000,1) 0 dias,1) 0 dias
34,500000,1) 0 dias,1) 0 dias
35,500000,1) 0 dias,1) 0 dias
36,160000,1) 0 dias,1) 0 dias
37,280000,1) 0 dias,1) 0 dias
38,60000,1) 0 dias,1) 0 dias
39,50000,1) 0 dias,2) 0-30 dias
40,280000,1) 0 dias,1) 0 dias
41,360000,1) 0 dias,1) 0 dias
42,70000,1) 0 dias,1) 0 dias
43,10000,1) 0 dias,1) 0 dias
44,140000,1) 0 dias,1) 0 dias
45,40000,1) 0 dias,1) 0 dias
46,210000,1) 0 dias,1) 0 dias
47,20000,1) 0 dias,1) 0 dias
48,150000,1) 0 dias,1) 0 dias
49,380000,1) 0 dias,1) 0 dias
50,20000,1) 0 dias,1) 0 dias
51,70000,1) 0 dias,2) 0-30 dias
52,100000,1) 0 dias,1) 0 dias
53,310000,1) 0 dias,1) 0 dias
54,180000,1) 0 dias,2) 0-30 dias
55,150000,1) 0 dias,3) 30-60 dias
56,500000,1) 0 dias,1) 0 dias
57,180000,1) 0 dias,1) 0 dias
58,180000,1) 0 dias,1) 0 dias
59,200000,3) 30-60 dias,1) 0 dias
60,400000,1) 0 dias,1) 0 dias
61,500000,1) 0 dias,1) 0 dias
62,70000,1) 0 dias,1) 0 dias
63,50000,3) 30-60 dias,3) 30-60 dias
64,50000,1) 0 dias,1) 0 dias
65,130000,1) 0 dias,1) 0 dias
66,200000,3) 30-60 dias,1) 0 dias
67,10000,1) 0 dias,3) 30-60 dias
68,210000,1) 0 dias,3) 30-60 dias
69,130000,1) 0 dias,2) 0-30 dias
70,20000,1) 0 dias,3) 30-60 dias
71,80000,1) 0 dias,1) 0 dias
72,320000,3) 30-60 dias,3) 30-60 dias
73,200000,1) 0 dias,1) 0 dias
74,290000,1) 0 dias,2) 0-30 dias
75,340000,1) 0 dias,1) 0 dias
76,20000,1) 0 dias,1) 0 dias
77,50000,1) 0 dias,1) 0 dias
78,300000,1) 0 dias,1) 0 dias
79,30000,1) 0 dias,1) 0 dias
80,240000,1) 0 dias,2) 0-30 dias
81,470000,1) 0 dias,1) 0 dias
82,360000,1) 0 dias,1) 0 dias
83,60000,1) 0 dias,1) 0 dias
84,400000,1) 0 dias,1) 0 dias
85,50000,1) 0 dias,1) 0 dias
86,160000,1) 0 dias,1) 0 dias
87,360000,1) 0 dias,1) 0 dias
88,160000,1) 0 dias,1) 0 dias
89,130000,1) 0 dias,1) 0 dias
90,20000,3) 30-60 dias,3) 30-60 dias
91,200000,3) 30-60 dias,3) 30-60 dias
92,280000,1) 0 dias,1) 0 dias
93,100000,1) 0 dias,1) 0 dias
94,160000,1) 0 dias,1) 0 dias
95,60000,1) 0 dias,1) 0 dias
96,90000,2) 0-30 dias,1) 0 dias
97,360000,1) 0 dias,1) 0 dias
98,150000,1) 0 dias,1) 0 dias
99,50000,1) 0 dias,1) 0 dias
100,20000,1) 0 dias,1) 0 dias
101,140000,1) 0 dias,1) 0 dias
102,380000,1) 0 dias,1) 0 dias
103,480000,1) 0 dias,1) 0 dias
104,50000,1) 0 dias,1) 0 dias
105,60000,1) 0 dias,3) 30-60 dias
106,70000,1) 0 dias,1) 0 dias
107,80000,1) 0 dias,1) 0 dias
108,350000,1) 0 dias,1) 0 dias
109,130000,1) 0 dias,1) 0 dias
110,360000,1) 0 dias,2) 0-30 dias
111,330000,1) 0 dias,1) 0 dias
112,50000,1) 0 dias,1) 0 dias
113,280000,4) 30-90 dias,3) 30-60 dias
114,100000,1) 0 dias,1) 0 dias
115,50000,1) 0 dias,1) 0 dias
116,30000,3) 30-60 dias,1) 0 dias
117,240000,2) 0-30 dias,1) 0 dias
118,80000,1) 0 dias,3) 30-60 dias
119,400000,1) 0 dias,1) 0 dias
120,240000,1) 0 dias,1) 0 dias
121,50000,3) 30-60 dias,3) 30-60 dias
122,450000,1) 0 dias,2) 0-30 dias
123,110000,1) 0 dias,2) 0-30 dias
124,310000,2) 0-30 dias,3) 30-60 dias
125,20000,1) 0 dias,1) 0 dias
126,20000,1) 0 dias,2) 0-30 dias
127,200000,1) 0 dias,1) 0 dias
128,180000,1) 0 dias,1) 0 dias
129,50000,1) 0 dias,1) 0 dias
130,60000,1) 0 dias,4) 30-90 dias
131,30000,1) 0 dias,2) 0-30 dias
132,240000,1) 0 dias,2) 0-30 dias
133,420000,1) 0 dias,1) 0 dias
134,330000,1) 0 dias,1) 0 dias
135,30000,1) 0 dias,1) 0 dias
136,240000,3) 30-60 dias,1) 0 dias
137,150000,1) 0 dias,1) 0 dias
138,210000,1) 0 dias,1) 0 dias
139,50000,1) 0 dias,1) 0 dias
140,50000,1) 0 dias,1) 0 dias
141,240000,1) 0 dias,2) 0-30 dias
142,180000,2) 0-30 dias,1) 0 dias
143,50000,1) 0 dias,2) 0-30 dias
144,170000,1) 0 dias,1) 0 dias
145,20000,1) 0 dias,1) 0 dias
146,50000,4) 30-90 dias,1) 0 dias
147,170000,1) 0 dias,1) 0 dias
148,200000,1) 0 dias,2) 0-30 dias
149,80000,1) 0 dias,2) 0-30 dias
150,260000,1) 0 dias,2) 0-30 dias
151,140000,1) 0 dias,1) 0 dias
152,80000,1) 0 dias,1) 0 dias
153,350000,1) 0 dias,2) 0-30 dias
154,280000,1) 0 dias,1) 0 dias
155,30000,1) 0 dias,1) 0 dias
156,140000,1) 0 dias,1) 0 dias
157,200000,1) 0 dias,1) 0 dias
158,200000,1) 0 dias,1) 0 dias
159,210000,5) >90 dias,3) 30-60 dias
160,50000,1) 0 dias,4) 30-90 dias
161,30000,1) 0 dias,3) 30-60 dias
162,50000,3) 30-60 dias,3) 30-60 dias
163,290000,1) 0 dias,1) 0 dias
164,250000,1) 0 dias,1) 0 dias
165,60000,1) 0 dias,1) 0 dias
166,110000,1) 0 dias,1) 0 dias
167,370000,1) 0 dias,1) 0 dias
168,100000,1) 0 dias,1) 0 dias
169,90000,3) 30-60 dias,1) 0 dias
170,50000,1) 0 dias,1) 0 dias
171,270000,1) 0 dias,1) 0 dias
172,300000,1) 0 dias,1) 0 dias
173,50000,1) 0 dias,1) 0 dias
174,50000,1) 0 dias,2) 0-30 dias
175,360000,1) 0 dias,2) 0-30 dias
176,130000,4) 30-90 dias,2) 0-30 dias
177,80000,1) 0 dias,1) 0 dias
178,50000,3) 30-60 dias,2) 0-30 dias
179,20000,1) 0 dias,1) 0 dias
180,80000,1) 0 dias,1) 0 dias
181,240000,1) 0 dias,1) 0 dias
182,80000,1) 0 dias,1) 0 dias
183,500000,1) 0 dias,1) 0 dias
184,60000,1) 0 dias,1) 0 dias
185,20000,1) 0 dias,1) 0 dias
186,100000,1) 0 dias,2) 0-30 dias
187,360000,1) 0 dias,2) 0-30 dias
188,200000,3) 30-60 dias,3) 30-60 dias
189,130000,1) 0 dias,2) 0-30 dias
190,20000,3) 30-60 dias,2) 0-30 dias
191,310000,1) 0 dias,1) 0 dias
192,60000,1) 0 dias,3) 30-60 dias
193,180000,1) 0 dias,1) 0 dias
194,180000,1) 0 dias,1) 0 dias
195,50000,1) 0 dias,1) 0 dias
196,50000,3) 30-60 dias,2) 0-30 dias
197,150000,1) 0 dias,1) 0 dias
198,20000,1) 0 dias,1) 0 dias
199,500000,1) 0 dias,1) 0 dias
200,30000,1) 0 dias,2) 0-30 dias
201,180000,1) 0 dias,1) 0 dias
202,140000,3) 30-60 dias,1) 0 dias
203,140000,1) 0 dias,1) 0 dias
204,120000,1) 0 dias,1) 0 dias
205,360000,1) 0 dias,1) 0 dias
206,20000,1) 0 dias,1) 0 dias
207,100000,1) 0 dias,1) 0 dias
208,210000,1) 0 dias,1) 0 dias
209,80000,1) 0 dias,1) 0 dias
210,330000,1) 0 dias,1) 0 dias
211,220000,1) 0 dias,1) 0 dias
212,210000,1) 0 dias,2) 0-30 dias
213,40000,1) 0 dias,1) 0 dias
214,30000,1) 0 dias,1) 0 dias
215,470000,1) 0 dias,3) 30-60 dias
216,30000,3) 30-60 dias,1) 0 dias
217,240000,1) 0 dias,2) 0-30 dias
218,80000,1) 0 dias,3) 30-60 dias
219,110000,1) 0 dias,1) 0 dias
220,310000,1) 0 dias,1) 0 dias
221,360000,1) 0 dias,3) 30-60 dias
222,330000,1) 0 dias,1) 0 dias
223,300000,1) 0 dias,1) 0 dias
224,320000,1) 0 dias,1) 0 dias
225,50000,1) 0 dias,2) 0-30 dias
226,170000,1) 0 dias,1) 0 dias
227,350000,1) 0 dias,1) 0 dias
228,20000,1) 0 dias,1) 0 dias
229,50000,1) 0 dias,3) 30-60 dias
230,20000,1) 0 dias,2) 0-30 dias
231,50000,1) 0 dias,1) 0 dias
232,20000,1) 0 dias,2) 0-30 dias
233,50000,1) 0 dias,1) 0 dias
234,190000,3) 30-60 dias,3) 30-60 dias
235,60000,1) 0 dias,1) 0 dias
236,80000,1) 0 dias,1) 0 dias
237,150000,1) 0 dias,1) 0 dias
238,210000,1) 0 dias,1) 0 dias
239,240000,1) 0 dias,1) 0 dias
240,140000,1) 0 dias,1) 0 dias
241,60000,1) 0 dias,2) 0-30 dias
