Source,Target,Type,weight
@martharoldos,topic,Directed,7.0
@martharoldos,urgente,Directed,14.0
@martharoldos,odebrecht,Directed,118.0
@martharoldos,caminosca,Directed,10.0
@martharoldos,aypame,Directed,4.0
@martharoldos,ap,Directed,9.0
@martharoldos,jg,Directed,8.0
@martharoldos,panamapapers,Directed,4.0
@martharoldos,petrochina,Directed,6.0
@martharoldos,todossabemosquefueglas,Directed,42.0
@martharoldos,alianzapais,Directed,10.0
@martharoldos,opinion,Directed,4.0
@martharoldos,columnadebonil,Directed,8.0
@martharoldos,quito,Directed,16.0
@martharoldos,ecuador,Directed,80.0
@martharoldos,venezuela,Directed,19.0
@martharoldos,nocomascuento,Directed,4.0
@martharoldos,correa,Directed,59.0
@martharoldos,prohibidoolvidar,Directed,10.0
@martharoldos,jorgeglas,Directed,33.0
@martharoldos,yasuni,Directed,10.0
@martharoldos,amnistiaprimero,Directed,7.0
@martharoldos,juiciopolitico,Directed,8.0
@martharoldos,expulsionesnuncamas,Directed,5.0
@martharoldos,casoodebrecht,Directed,9.0
@martharoldos,corrupcion,Directed,5.0
@martharoldos,refineriadelpacifico,Directed,5.0
@martharoldos,indignate,Directed,4.0
@martharoldos,elultimodedoparacorrea,Directed,4.0
@martharoldos,mexico,Directed,4.0
@martharoldos,cidhaudiencias,Directed,7.0
@martharoldos,carcelparaglas,Directed,4.0
@martharoldos,davidromo,Directed,11.0
@martharoldos,ahora,Directed,5.0
@martharoldos,bastayachatocastillo,Directed,4.0
@martharoldos,senain,Directed,8.0
@martharoldos,guayaquil,Directed,12.0
@martharoldos,refineriaesmeraldas,Directed,12.0
@martharoldos,vision360,Directed,11.0
@martharoldos,feriadopetrolero,Directed,17.0
@martharoldos,ricardorivera,Directed,4.0
@martharoldos,glasviejo,Directed,8.0
@martharoldos,glas,Directed,5.0
@martharoldos,juntoscontralacorrupcion,Directed,10.0
@martharoldos,bacamancheno,Directed,7.0
@martharoldos,lacigf10,Directed,8.0
@martharoldos,quenofugueglas,Directed,5.0
@martharoldos,capaya,Directed,9.0
@martharoldos,charlottesville,Directed,4.0
@martharoldos,mamabionica,Directed,4.0
@martharoldos,sosgalapagos,Directed,5.0
@martharoldos,galapagos,Directed,9.0
@martharoldos,iess,Directed,13.0
@martharoldos,ddhh,Directed,5.0
@martharoldos,gustavojalkh,Directed,4.0
@martharoldos,elprincipito,Directed,11.0
@martharoldos,locodelatico,Directed,5.0
@martharoldos,analisisurgente,Directed,4.0
@martharoldos,epuecuador,Directed,8.0
@martharoldos,yasunienlaconsulta,Directed,5.0
@martharoldos,consultapopular,Directed,6.0
@martharoldos,libertadparafernando,Directed,9.0
@martharoldos,yachay,Directed,9.0
@martharoldos,radiografiapolitica,Directed,4.0
@martharoldos,conmishijosnotemetas,Directed,5.0
@martharoldos,tio,Directed,4.0
@martharoldos,larebeliondeloscorruptos,Directed,5.0
@martharoldos,morenostyle,Directed,4.0
@martharoldos,nuestraconstitucionec,Directed,4.0
@martharoldos,30s,Directed,19.0
@martharoldos,asesinato,Directed,4.0
@martharoldos,aguirreabad,Directed,4.0
@martharoldos,fiscalbacamancheno,Directed,8.0
@martharoldos,100ninos,Directed,4.0
@martharoldos,nomaspederastia,Directed,4.0
@dorissoliz,azuay,Directed,12.0
@dorissoliz,odsecuador,Directed,5.0
@dorissoliz,juiciopolitico,Directed,4.0
@dorissoliz,cuenca,Directed,12.0
@dorissoliz,unesco,Directed,4.0
@dorissoliz,noviolenciaalamujer,Directed,24.0
@dorissoliz,leyparaisosfiscales,Directed,13.0
@dorissoliz,ecuador,Directed,11.0
@dorissoliz,proforma2017,Directed,20.0
@dorissoliz,refineriaesmeraldas,Directed,5.0
@dorissoliz,100diasporazuay,Directed,4.0
@dorissoliz,protocolodenagoya,Directed,6.0
@dorissoliz,viasseguras,Directed,4.0
@dorissoliz,enlacedigital02,Directed,5.0
@dorissoliz,dineroelectronico,Directed,4.0
@dorissoliz,leylenguasancestrales,Directed,5.0
@dorissoliz,acuerdoconcanada,Directed,10.0
@dorissoliz,chordelegencantado,Directed,4.0
@dorissoliz,buenosvecinos,Directed,4.0
@dorissoliz,enlacedigital03,Directed,4.0
@dorissoliz,comisionmujeres,Directed,4.0
@dorissoliz,formacionpoliticaap,Directed,6.0
@dorissoliz,acuerdoaustralia,Directed,8.0
@dorissoliz,nodiscriminacion,Directed,4.0
@dorissoliz,ipu137,Directed,13.0
@dorissoliz,rusia,Directed,5.0
@dorissoliz,grulac,Directed,4.0
@dorissoliz,delgecrusia,Directed,6.0
@dorissoliz,uip137,Directed,6.0
@dorissoliz,amicuscuriae,Directed,4.0
@silvitabuendia,turquia,Directed,4.0
@silvitabuendia,topic,Directed,4.0
@silvitabuendia,todossabemosquefueglas,Directed,17.0
@silvitabuendia,aypame,Directed,192.0
@silvitabuendia,noviolenciacontralasmujeres,Directed,9.0
@silvitabuendia,noalaviolenciadegenero,Directed,14.0
@silvitabuendia,mujeresconvozs,Directed,18.0
@silvitabuendia,venezuela,Directed,10.0
@silvitabuendia,quito,Directed,60.0
@silvitabuendia,jg,Directed,8.0
@silvitabuendia,jorgeglas,Directed,61.0
@silvitabuendia,odebrecht,Directed,91.0
@silvitabuendia,ecuador,Directed,173.0
@silvitabuendia,guayaquil,Directed,86.0
@silvitabuendia,andina25anos,Directed,17.0
@silvitabuendia,malleljardin,Directed,11.0
@silvitabuendia,ricardorivera,Directed,8.0
@silvitabuendia,yachay,Directed,10.0
@silvitabuendia,wtf,Directed,5.0
@silvitabuendia,caminosca,Directed,9.0
@silvitabuendia,feminismo,Directed,14.0
@silvitabuendia,ibarra,Directed,7.0
@silvitabuendia,bolivia,Directed,6.0
@silvitabuendia,cerdecuador,Directed,10.0
@silvitabuendia,columnadebonil,Directed,4.0
@silvitabuendia,juiciopolitico,Directed,10.0
@silvitabuendia,glas,Directed,25.0
@silvitabuendia,29desaraguro,Directed,13.0
@silvitabuendia,miercolescontraelfemicidio,Directed,7.0
@silvitabuendia,justiciaparatodas,Directed,31.0
@silvitabuendia,niunamenos,Directed,30.0
@silvitabuendia,amnistiaprimero,Directed,22.0
@silvitabuendia,libertadsaraguro,Directed,15.0
@silvitabuendia,saraguro,Directed,15.0
@silvitabuendia,cuenca,Directed,25.0
@silvitabuendia,mujeres,Directed,8.0
@silvitabuendia,urgente,Directed,26.0
@silvitabuendia,vivasnosqueremos,Directed,13.0
@silvitabuendia,chile,Directed,5.0
@silvitabuendia,ddhh,Directed,12.0
@silvitabuendia,pulsopolitico,Directed,6.0
@silvitabuendia,familiasdiversas,Directed,7.0
@silvitabuendia,wqnoticias,Directed,11.0
@silvitabuendia,ajedrez,Directed,7.0
@silvitabuendia,conflictomineroecuador,Directed,4.0
@silvitabuendia,somosconaie,Directed,8.0
@silvitabuendia,loja,Directed,10.0
@silvitabuendia,ideas,Directed,4.0
@silvitabuendia,matrimonioigualitario,Directed,18.0
@silvitabuendia,loveislove,Directed,40.0
@silvitabuendia,archivoreformasninez,Directed,16.0
@silvitabuendia,expulsionesnuncamas,Directed,25.0
